Country,Population
Inde,1428627663.0
Chine,1425671352.0
États-Unis,331002651.0
Indonésie,273523615.0
Pakistan,220892340.0
Nigeria,219505589.0
Brésil,217374417.0
Bangladesh,164689383.0
Russie,145934462.0
Mexique,128932753.0
Japon,126239461.0
Éthiopie,114963588.0
Philippines,109581078.0
Égypte,102334404.0
Viêt Nam,97338579.0
République démocratique du Congo,89561403.0
Turquie,84339067.0
Iran,83992949.0
Allemagne,83783942.0
Corée,77048001.0
Thaïlande,69799978.0
Royaume-Uni,67886011.0
France,66043511.0
Italie,60628826.0
Tanzanie,59734218.0
Afrique du Sud,59308690.0
Birmanie,54409800.0
Kenya,53771296.0
Corée du Sud,51269185.0
Colombie,50882891.0
Espagne,46754778.0
Ouganda,45741007.0
Argentine,45195774.0
Algérie,43851044.0
Soudan,43849260.0
Ukraine,43733762.0
Irak,40222493.0
Afghanistan,38928346.0
Pologne,37846611.0
Canada,37742154.0
Maroc,36910560.0
Arabie saoudite,34813871.0
Ouzbékistan,33469203.0
Pérou,32971854.0
Angola,32866272.0
Malaisie,32365999.0
Mozambique,31255435.0
Ghana,31072940.0
Yémen,29825964.0
Népal,29136808.0
Venezuela,28435940.0
Madagascar,27691018.0
Cameroun,26545863.0
Côte d’Ivoire,26378274.0
Corée du Nord,25778816.0
Australie,25499884.0
Niger,24206644.0
Taïwan,23816775.0
Sri Lanka,21413249.0
Burkina Faso,20903273.0
Mali,20250833.0
Roumanie,19237691.0
Malawi,19129952.0
Chili,19116201.0
Kazakhstan,18776707.0
Zambie,18383955.0
Guatemala,17915568.0
Équateur,17643054.0
Syrie,17500658.0
Pays-Bas,17134872.0
Sénégal,16743927.0
Cambodge,16718965.0
Tchad,16425864.0
Somalie,15893222.0
Zimbabwe,14862924.0
Guinée,13132795.0
Rwanda,12952218.0
Bénin,12123200.0
Burundi,11890784.0
Tunisie,11818619.0
Bolivie,11673021.0
Belgique,11589623.0
Haïti,11402528.0
Cuba,11326616.0
Soudan du Sud,11193725.0
République dominicaine,10847910.0
République tchèque,10708981.0
Grèce,10423054.0
Jordanie,10203134.0
Portugal,10196709.0
Azerbaïdjan,10139177.0
Suède,10099265.0
Honduras,9904607.0
Émirats arabes unis,9890402.0
Hongrie,9660351.0
Tadjikistan,9537645.0
Biélorussie,9449323.0
Autriche,9006398.0
Papouasie-Nouvelle-Guinée,8947024.0
Serbie,8737371.0
Israël,8655535.0
Suisse,8654622.0
Togo,8278724.0
Sierra Leone,7976983.0
Laos,7275560.0
Paraguay,7132538.0
Bulgarie,6948445.0
Libye,6871292.0
Liban,6825445.0
Nicaragua,6624554.0
Kirghizistan,6524195.0
Salvador,6486205.0
Turkménistan,6031200.0
Singapour,5850342.0
Danemark,5792202.0
Finlande,5540720.0
République du Congo,5518087.0
Slovaquie,5459642.0
Norvège,5421241.0
Oman,5106626.0
Costa Rica,5094118.0
Liberia,5057681.0
Irlande,4937786.0
République centrafricaine,4829767.0
Nouvelle-Zélande,4822233.0
Mauritanie,4649658.0
Panamá,4314767.0
Koweït,4270571.0
Croatie,4105267.0
Moldavie,4033963.0
Géorgie,3989167.0
Érythrée,3546421.0
Uruguay,3473730.0
Bosnie-Herzégovine,3280819.0
Mongolie,3278290.0
Arménie,2963243.0
Jamaïque,2961167.0
Qatar,2881053.0
Albanie,2877797.0
Lituanie,2722289.0
Namibie,2540905.0
Gambie,2416668.0
Botswana,2351627.0
Gabon,2225734.0
Lesotho,2142249.0
Macédoine du Nord,2083374.0
Slovénie,2078938.0
Guinée-Bissau,1968001.0
Kosovo,1920079.0
Lettonie,1886198.0
Bahreïn,1701575.0
Guinée équatoriale,1402985.0
Trinité-et-Tobago,1399488.0
Estonie,1326535.0
Timor oriental,1318445.0
Maurice,1271768.0
Chypre,1207359.0
Eswatini,1160164.0
Djibouti,988000.0
Fidji,896445.0
Comores,869601.0
Guyana,786552.0
Bhoutan,771608.0
Îles Salomon,686884.0
Monténégro,628066.0
Luxembourg,625978.0
Suriname,586632.0
Cap-Vert,555987.0
Maldives,540544.0
Malte,441543.0
Brunei,437479.0
Belize,397628.0
Bahamas,393244.0
Islande,341243.0
Vanuatu,307145.0
Barbade,287375.0
São Tomé-et-Principe,219159.0
Samoa,198414.0
Sainte-Lucie,183627.0
Kiribati,119449.0
Micronésie,115023.0
Grenade,112523.0
Saint-Vincent-et-les Grenadines,110940.0
Tonga,105695.0
Seychelles,98347.0
Antigua-et-Barbuda,97929.0
Andorre,77265.0
Dominique,71986.0
Îles Marshall,59190.0
Saint-Christophe-et-Niévès,53199.0
Monaco,38968.0
Liechtenstein,38794.0
Saint-Marin,33931.0
Palaos,18094.0
Tuvalu,11792.0
Nauru,10824.0
Vatican,801.0
,
,
,
